Date,OpenedToday,ClosedToday,PartialExitsToday,Monitored,OpenPositions,ClosedPositions,CashBalance,PortfolioValue,RealizedPnL,PortfolioReturnPercent,WinRate,LossRate,AverageHoldingDays,SectorExposure,ClosedToday_Detail,OpenedToday_Detail,PartialExitsToday_Detail
2026-09-03,0,7,0,20,13,7,293846.34,500720.36,720.36,0.14,57.14,42.86,1.0,"{""Basic Materials"": 80406.87, ""Consumer Cyclical"": 20413.1, ""Financial Services"": 35951.4, ""Industrials"": 45772.75, ""Consumer Defensive"": 15065.4, ""Energy"": 9264.5}","[{""symbol"": ""MUKKA.NS"", ""pnl"": 131.8502011871343}, {""symbol"": ""DEEPAKNTR.NS"", ""pnl"": 42.000146484374454}, {""symbol"": ""NORTHARC.NS"", ""pnl"": -26.00063476562559}, {""symbol"": ""KAMDHENU.NS"", ""pnl"": 165.58999999999952}, {""symbol"": ""JINDWORLD.NS"", ""pnl"": 90.08987503051796}, {""symbol"": ""TNPETRO.NS"", ""pnl"": -81.78051635742145}, {""symbol"": ""SPORTKING.NS"", ""pnl"": -0.7602319335943548}]",[],[]
2026-09-04,0,7,1,33,26,14,192179.79,501121.21,724.44,0.22,50.0,50.0,1.07,"{""Basic Materials"": 89656.20999999999, ""Consumer Cyclical"": 32925.15, ""Industrials"": 45966.0, ""Financial Services"": 97690.39000000001, ""Consumer Defensive"": 14816.759999999998, ""Energy"": 9338.0, ""Healthcare"": 11478.06, ""Technology"": 7070.849999999999}","[{""symbol"": ""MUKKA.NS"", ""pnl"": -247.79993247985882}, {""symbol"": ""KAMDHENU.NS"", ""pnl"": 97.76028686523523}, {""symbol"": ""OBEROIRLTY.NS"", ""pnl"": 5.600000000000364}, {""symbol"": ""AVTNPL.NS"", ""pnl"": -120.32046875000015}, {""symbol"": ""FINCABLES.NS"", ""pnl"": -23.200000000000728}, {""symbol"": ""EDELWEISS.NS"", ""pnl"": 1300.110000000002}, {""symbol"": ""PAISALO.NS"", ""pnl"": -117.00017852783137}]",[],"[{""symbol"": ""NSLNISP.NS"", ""direction"": ""BUY"", ""quantity"": 65, ""remaining_quantity"": 65, ""exit_price"": 45.57, ""trigger"": ""Volatility Exit"", ""realized_pnl"": -2.600039672851544}]"
2026-09-05,0,0,0,0,26,14,192179.79,501121.21,724.44,0.22,50.0,50.0,1.07,"{""Basic Materials"": 89656.20999999999, ""Consumer Cyclical"": 32925.15, ""Industrials"": 45966.0, ""Financial Services"": 97690.39000000001, ""Consumer Defensive"": 14816.759999999998, ""Energy"": 9338.0, ""Healthcare"": 11478.06, ""Technology"": 7070.849999999999}",[],[],[]
2026-09-06,0,0,0,0,26,14,192179.79,501121.21,724.44,0.22,50.0,50.0,1.07,"{""Basic Materials"": 89656.20999999999, ""Consumer Cyclical"": 32925.15, ""Industrials"": 45966.0, ""Financial Services"": 97690.39000000001, ""Consumer Defensive"": 14816.759999999998, ""Energy"": 9338.0, ""Healthcare"": 11478.06, ""Technology"": 7070.849999999999}",[],[],[]
2026-09-07,0,28,0,75,47,42,212469.81,502819.27,3310.97,0.56,52.38,47.62,1.33,"{""Basic Materials"": 89164.17, ""Financial Services"": 97394.39, ""Industrials"": 46680.450000000004, ""Energy"": 18669.2, ""Technology"": 13511.75, ""Healthcare"": 10989.7, ""Communication Services"": 5295.75, ""Real Estate"": 4955.2, ""Consumer Cyclical"": 3688.85}","[{""symbol"": ""GRAPHITE.NS"", ""pnl"": 90.00000000000057}, {""symbol"": ""TEJASNET.NS"", ""pnl"": -103.60000000000036}, {""symbol"": ""THELEELA.NS"", ""pnl"": -16.800097656249818}, {""symbol"": ""CYIENTDLM.NS"", ""pnl"": -0.599999999999909}, {""symbol"": ""BRIGADE.NS"", ""pnl"": -6.449999999999932}, {""symbol"": ""MARKSANS.NS"", ""pnl"": 6.25}, {""symbol"": ""NORTHARC.NS"", ""pnl"": -39.65000000000015}, {""symbol"": ""MCX.NS"", ""pnl"": 60.10009765625}, {""symbol"": ""JINDALSTEL.NS"", ""pnl"": -78.0}, {""symbol"": ""SHREEJISPG.NS"", ""pnl"": -22.04999999999984}, {""symbol"": ""GHCLTEXTIL.NS"", ""pnl"": -292.89911499023503}, {""symbol"": ""GIPCL.NS"", ""pnl"": -10.5}, {""symbol"": ""AHCL.NS"", ""pnl"": 87.11977844238334}, {""symbol"": ""AEROENTER.NS"", ""pnl"": -8.399880371093559}, {""symbol"": ""VISAKAIND.NS"", ""pnl"": -19.99999999999993}, {""symbol"": ""AEGISVOPAK.NS"", ""pnl"": 5.4000244140625}, {""symbol"": ""IMAGICAA.NS"", ""pnl"": 14.84996566772466}, {""symbol"": ""SOTL.NS"", ""pnl"": 699.0003662109382}, {""symbol"": ""ONEPOINT.NS"", ""pnl"": 31.500000000000128}, {""symbol"": ""CGCL.NS"", ""pnl"": 587.5}, {""symbol"": ""CENTENKA.NS"", ""pnl"": 23.100000000000477}, {""symbol"": ""NSLNISP.NS"", ""pnl"": 13.649960327148456}, {""symbol"": ""BEML.NS"", ""pnl"": 7.0}, {""symbol"": ""NIACL.NS"", ""pnl"": 873.5798297119137}, {""symbol"": ""ACMESOLAR.NS"", ""pnl"": -37.79985351562527}, {""symbol"": ""VINCOFE.NS"", ""pnl"": 243.60000000000048}, {""symbol"": ""QUESS.NS"", ""pnl"": 17.399926757812636}, {""symbol"": ""JINDALSAW.NS"", ""pnl"": -30.0}]",[],[]
2026-09-08,0,34,1,93,59,76,211119.14,503919.39,4012.4,0.78,56.58,43.42,1.51,"{""Financial Services"": 108875.26000000001, ""Industrials"": 42122.0, ""Basic Materials"": 50242.81, ""Technology"": 16405.74, ""Healthcare"": 36413.85999999999, ""Energy"": 17159.7, ""Communication Services"": 7142.8, ""Consumer Cyclical"": 3292.5, ""Utilities"": 9133.279999999999, ""Consumer Defensive"": 2012.3}","[{""symbol"": ""EXICOM.NS"", ""pnl"": 229.3899999999999}, {""symbol"": ""LTFOODS.NS"", ""pnl"": -4.64996337890625}, {""symbol"": ""EMIL.NS"", ""pnl"": -42.93999999999983}, {""symbol"": ""GIPCL.NS"", ""pnl"": -28.000106811523438}, {""symbol"": ""MUNJALAU.NS"", ""pnl"": -45.589899597168156}, {""symbol"": ""PPLPHARMA.NS"", ""pnl"": 33.80012207031257}, {""symbol"": ""GANDHAR.NS"", ""pnl"": -188.9999999999992}, {""symbol"": ""CUB.NS"", ""pnl"": 179.5799999999998}, {""symbol"": ""TDPOWERSYS.NS"", ""pnl"": 24.049999999999955}, {""symbol"": ""SAMBHV.NS"", ""pnl"": 107.51982910156244}, {""symbol"": ""PAYTM.NS"", ""pnl"": -15.199975585937409}, {""symbol"": ""DCBBANK.NS"", ""pnl"": 169.7402502441403}, {""symbol"": ""CHENNPETRO.NS"", ""pnl"": 6.0}, {""symbol"": ""ANANTRAJ.NS"", ""pnl"": 96.0}, {""symbol"": ""BEPL.NS"", ""pnl"": -43.11999999999978}, {""symbol"": ""IKIO.NS"", ""pnl"": -174.89991943359405}, {""symbol"": ""SOLARA.NS"", ""pnl"": 225.7501220703125}, {""symbol"": ""PNGJL.NS"", ""pnl"": -102.00036621093716}, {""symbol"": ""PARAS.NS"", ""pnl"": 34.59999999999991}, {""symbol"": ""ONEPOINT.NS"", ""pnl"": 5.849880981445423}, {""symbol"": ""MARKSANS.NS"", ""pnl"": 57.59999999999991}, {""symbol"": ""PFOCUS.NS"", ""pnl"": 29.25}, {""symbol"": ""KAMDHENU.NS"", ""pnl"": 90.38986007690434}, {""symbol"": ""AEROFLEX.NS"", ""pnl"": 404.3003173828131}, {""symbol"": ""ROLEXRINGS.NS"", ""pnl"": 19.94999999999976}, {""symbol"": ""ATHERENERG.NS"", ""pnl"": 26.0}, {""symbol"": ""GCSL.NS"", ""pnl"": 7.39990234375}, {""symbol"": ""PARADEEP.NS"", ""pnl"": 347.7603845214836}, {""symbol"": ""YATHARTH.NS"", ""pnl"": -7.29998779296875}, {""symbol"": ""GVKPIL.NS"", ""pnl"": 8.262634285038928e-05}, {""symbol"": ""NORTHARC.NS"", ""pnl"": -51.999902343750364}, {""symbol"": ""SYRMA.NS"", ""pnl"": 3.199999999999818}, {""symbol"": ""BRIGADE.NS"", ""pnl"": -3.699975585937409}, {""symbol"": ""KRBL.NS"", ""pnl"": -7.499969482421989}]",[],"[{""symbol"": ""TEJASNET.NS"", ""direction"": ""BUY"", ""quantity"": 3, ""remaining_quantity"": 3, ""exit_price"": 598.8, ""trigger"": ""Volatility Exit"", ""realized_pnl"": 9.299963378906114}]"
2026-09-09,0,32,2,99,67,108,179063.17,503850.94,5133.07,0.77,56.48,43.52,1.5,"{""Financial Services"": 116801.39000000001, ""Industrials"": 38341.9, ""Basic Materials"": 62369.17, ""Healthcare"": 29293.799999999996, ""Energy"": 23223.3, ""Communication Services"": 7077.85, ""Consumer Cyclical"": 10735.7, ""Utilities"": 13314.029999999999, ""Technology"": 12601.68, ""Consumer Defensive"": 5298.5, ""Real Estate"": 5730.450000000001}","[{""symbol"": ""MARINE.NS"", ""pnl"": 43.600048828124955}, {""symbol"": ""STYLEBAAZA.NS"", ""pnl"": -40.34996337890618}, {""symbol"": ""REDINGTON.NS"", ""pnl"": 81.70011596679666}, {""symbol"": ""SAILIFE.NS"", ""pnl"": 71.70002441406245}, {""symbol"": ""SAMBHV.NS"", ""pnl"": 24.17976196289169}, {""symbol"": ""MANORAMA.NS"", ""pnl"": 121.60002441406232}, {""symbol"": ""IKIO.NS"", ""pnl"": 87.7800939941406}, {""symbol"": ""GHCLTEXTIL.NS"", ""pnl"": 73.74985595703112}, {""symbol"": ""AHCL.NS"", ""pnl"": 132.84001407623305}, {""symbol"": ""CHENNPETRO.NS"", ""pnl"": 92.59999999999991}, {""symbol"": ""GCSL.NS"", ""pnl"": -4.999951171875182}, {""symbol"": ""ACMESOLAR.NS"", ""pnl"": 39.899999999999864}, {""symbol"": ""ONEPOINT.NS"", ""pnl"": -26.040153808593487}, {""symbol"": ""ESAFSFB.NS"", ""pnl"": -12.759999999999962}, {""symbol"": ""BRIGADE.NS"", ""pnl"": -55.0}, {""symbol"": ""MARKSANS.NS"", ""pnl"": -0.5000000000001137}, {""symbol"": ""CUB.NS"", ""pnl"": 17.630131225586524}, {""symbol"": ""KAMDHENU.NS"", ""pnl"": 2.3598199462892637}, {""symbol"": ""EXICOM.NS"", ""pnl"": -14.569856567383454}, {""symbol"": ""TNPETRO.NS"", ""pnl"": 194.0001098632814}, {""symbol"": ""SUDARSCHEM.NS"", ""pnl"": -183.6002197265625}, {""symbol"": ""SSWL.NS"", ""pnl"": -5.7000732421875}, {""symbol"": ""KRBL.NS"", ""pnl"": 24.599926757812568}, {""symbol"": ""FINCABLES.NS"", ""pnl"": 304.00009765624964}, {""symbol"": ""ANTHEM.NS"", ""pnl"": 30.0999755859375}, {""symbol"": ""CENTENKA.NS"", ""pnl"": -90.00014648437445}, {""symbol"": ""YATHARTH.NS"", ""pnl"": 13.400000000000091}, {""symbol"": ""VISAKAIND.NS"", ""pnl"": -39.75991455078122}, {""symbol"": ""BCLIND.NS"", ""pnl"": -9.309992523193415}, {""symbol"": ""RPTECH.NS"", ""pnl"": -33.799999999999955}, {""symbol"": ""MUNJALAU.NS"", ""pnl"": 27.929965209960613}, {""symbol"": ""APLAPOLLO.NS"", ""pnl"": -28.20009765624991}]",[],"[{""symbol"": ""APOLLO.NS"", ""direction"": ""BUY"", ""quantity"": 2, ""remaining_quantity"": 1, ""exit_price"": 424.0, ""trigger"": ""Target Achieved"", ""realized_pnl"": 66.0}, {""symbol"": ""IIFL.NS"", ""direction"": ""BUY"", ""quantity"": 5, ""remaining_quantity"": 5, ""exit_price"": 611.8, ""trigger"": ""Volatility Exit"", ""realized_pnl"": -169.50006103515648}]"
2026-09-10,0,35,0,110,75,143,158943.57,502892.38,3584.36,0.58,55.24,44.76,1.67,"{""Financial Services"": 102560.23000000001, ""Industrials"": 55192.05, ""Basic Materials"": 65971.87000000001, ""Healthcare"": 36480.48, ""Energy"": 14749.6, ""Utilities"": 9141.6, ""Technology"": 5245.95, ""Communication Services"": 7757.200000000001, ""Consumer Cyclical"": 26984.2, ""Consumer Defensive"": 14224.88, ""Real Estate"": 5640.75}","[{""symbol"": ""DEVYANI.NS"", ""pnl"": 0.9001098632813864}, {""symbol"": ""BEPL.NS"", ""pnl"": -36.44972534179672}, {""symbol"": ""JINDRILL.NS"", ""pnl"": 150.59990234374982}, {""symbol"": ""AARTIPHARM.NS"", ""pnl"": -75.50004882812505}, {""symbol"": ""CUB.NS"", ""pnl"": -60.52000000000004}, {""symbol"": ""SHREEJISPG.NS"", ""pnl"": 6.600000000000136}, {""symbol"": ""MANINDS.NS"", ""pnl"": -77.40007324218743}, {""symbol"": ""AGARWALEYE.NS"", ""pnl"": -12.300000000000068}, {""symbol"": ""IDEA.NS"", ""pnl"": 172.4999473571777}, {""symbol"": ""NOCIL.NS"", ""pnl"": 33.200048828125546}, {""symbol"": ""AEGISVOPAK.NS"", ""pnl"": 60.0}, {""symbol"": ""GIPCL.NS"", ""pnl"": 23.729999999999905}, {""symbol"": ""GANDHAR.NS"", ""pnl"": 141.00014648437514}, {""symbol"": ""EDELWEISS.NS"", ""pnl"": -62.25000000000094}, {""symbol"": ""ASIANENE.NS"", ""pnl"": 90.00014648437514}, {""symbol"": ""AEGISLOG.NS"", ""pnl"": 31.300048828125}, {""symbol"": ""NSLNISP.NS"", ""pnl"": 9.359880981445002}, {""symbol"": ""IIFL.NS"", ""pnl"": -163.00006103515614}, {""symbol"": ""MBAPL.NS"", ""pnl"": -7.439992675781127}, {""symbol"": ""GENUSPOWER.NS"", ""pnl"": -54.74999999999966}, {""symbol"": ""PARACABLES.NS"", ""pnl"": 34.30014953613309}, {""symbol"": ""MSTCLTD.NS"", ""pnl"": -20.0}, {""symbol"": ""PARADEEP.NS"", ""pnl"": -57.2398022460942}, {""symbol"": ""FEDFINA.NS"", ""pnl"": -145.07998107910132}, {""symbol"": ""VAKRANGEE.NS"", ""pnl"": 198.60007575988766}, {""symbol"": ""REDINGTON.NS"", ""pnl"": 2.249999999999943}, {""symbol"": ""SAMBHV.NS"", ""pnl"": 30.77999999999963}, {""symbol"": ""APOLLO.NS"", ""pnl"": 0.0}, {""symbol"": ""JKPAPER.NS"", ""pnl"": 19.799999999999727}, {""symbol"": ""SAILIFE.NS"", ""pnl"": -89.00004882812482}, {""symbol"": ""FINCABLES.NS"", ""pnl"": -77.99999999999955}, {""symbol"": ""ANDHRSUGAR.NS"", ""pnl"": -60.00009155273446}, {""symbol"": ""MUNJALAU.NS"", ""pnl"": 4.439981689453077}, {""symbol"": ""HONASA.NS"", ""pnl"": 3.150000000000034}, {""symbol"": ""MANYAVAR.NS"", ""pnl"": -13.599999999999909}]",[],[]
2026-09-11,0,61,1,115,54,204,280097.61,495671.36,-2250.77,-0.87,46.57,53.43,1.92,"{""Industrials"": 50330.2, ""Basic Materials"": 38930.060000000005, ""Financial Services"": 60544.85, ""Utilities"": 9020.44, ""Healthcare"": 20056.1, ""Communication Services"": 4040.56, ""Energy"": 4724.1, ""Consumer Defensive"": 14036.34, ""Consumer Cyclical"": 12719.949999999999, ""Technology"": 1171.1499999999999}","[{""symbol"": ""PANAMAPET.NS"", ""pnl"": -31.049963378906284}, {""symbol"": ""PARADEEP.NS"", ""pnl"": -16.650000000000205}, {""symbol"": ""SBILIFE.NS"", ""pnl"": 168.59992675781223}, {""symbol"": ""ETERNAL.NS"", ""pnl"": -28.250061035156193}, {""symbol"": ""TMPV.NS"", ""pnl"": 20.799999999999955}, {""symbol"": ""CHENNPETRO.NS"", ""pnl"": -72.0}, {""symbol"": ""JINDALSTEL.NS"", ""pnl"": -157.9998779296875}, {""symbol"": ""PAYTM.NS"", ""pnl"": 110.80000000000018}, {""symbol"": ""URJA.NS"", ""pnl"": 9.15000000000013}, {""symbol"": ""REDINGTON.NS"", ""pnl"": -87.45006713867213}, {""symbol"": ""PNBHOUSING.NS"", ""pnl"": 24.0}, {""symbol"": ""SITINET.NS"", ""pnl"": -83.99998998641951}, {""symbol"": ""IONEXCHANG.NS"", ""pnl"": 0.0}, {""symbol"": ""SAIL.NS"", ""pnl"": -324.14010437011706}, {""symbol"": ""MSUMI.NS"", ""pnl"": 8.850027008056792}, {""symbol"": ""INDGN.NS"", ""pnl"": -253.19990234375018}, {""symbol"": ""JINDRILL.NS"", ""pnl"": 23.999951171874955}, {""symbol"": ""GOODLUCK.NS"", ""pnl"": -6.04986572265625}, {""symbol"": ""USHAMART.NS"", ""pnl"": -270.5002441406248}, {""symbol"": ""MARKSANS.NS"", ""pnl"": 52.80000000000018}, {""symbol"": ""OIL.NS"", ""pnl"": 168.00012207031273}, {""symbol"": ""ROLEXRINGS.NS"", ""pnl"": -48.10989624023449}, {""symbol"": ""SOUTHBANK.NS"", ""pnl"": -612.7902006530768}, {""symbol"": ""DLF.NS"", ""pnl"": -92.25003662109361}, {""symbol"": ""CENTENKA.NS"", ""pnl"": -124.29986572265625}, {""symbol"": ""HINDALCO.NS"", ""pnl"": -14.600000000000023}, {""symbol"": ""GAYAPROJ.NS"", ""pnl"": -158.99977111816418}, {""symbol"": ""KARURVYSYA.NS"", ""pnl"": -827.1994262695318}, {""symbol"": ""GLAND.NS"", ""pnl"": -9.400097656250182}, {""symbol"": ""PCBL.NS"", ""pnl"": -38.399804687500364}, {""symbol"": ""GIPCL.NS"", ""pnl"": 4.559999999999945}, {""symbol"": ""NMDC.NS"", ""pnl"": -19.080016479492116}, {""symbol"": ""MRPL.NS"", ""pnl"": -67.25013732910128}, {""symbol"": ""NOCIL.NS"", ""pnl"": -41.040000000000276}, {""symbol"": ""KAMDHENU.NS"", ""pnl"": -220.5}, {""symbol"": ""ANANTRAJ.NS"", ""pnl"": -164.70000000000027}, {""symbol"": ""PAISALO.NS"", ""pnl"": 482.45972442626953}, {""symbol"": ""DATAPATTNS.NS"", ""pnl"": -229.00009765624964}, {""symbol"": ""SONACOMS.NS"", ""pnl"": -4.7000000000000455}, {""symbol"": ""STAR.NS"", ""pnl"": 4.0}, {""symbol"": ""IDEA.NS"", ""pnl"": -67.39997428894017}, {""symbol"": ""HINDZINC.NS"", ""pnl"": -79.09999999999991}, {""symbol"": ""PNGJL.NS"", ""pnl"": -382.19999999999936}, {""symbol"": ""SKIPPER.NS"", ""pnl"": -505.0500000000003}, {""symbol"": ""LXCHEM.NS"", ""pnl"": -412.5}, {""symbol"": ""RAIN.NS"", ""pnl"": -62.48000000000002}, {""symbol"": ""MSTCLTD.NS"", ""pnl"": -29.800000000000182}, {""symbol"": ""CHOLAFIN.NS"", ""pnl"": -29.5999755859375}, {""symbol"": ""TEJASNET.NS"", ""pnl"": -168.0000366210936}, {""symbol"": ""ARVIND.NS"", ""pnl"": -82.80000000000018}, {""symbol"": ""EXICOM.NS"", ""pnl"": -108.59997253417959}, {""symbol"": ""MOTILALOFS.NS"", ""pnl"": -91.40000000000009}, {""symbol"": ""SHYAMMETL.NS"", ""pnl"": 13.2001953125}, {""symbol"": ""MAHABANK.NS"", ""pnl"": -58.39996948242174}, {""symbol"": ""JTLIND.NS"", ""pnl"": -0.0001892089845512146}, {""symbol"": ""ZYDUSLIFE.NS"", ""pnl"": -103.39990234375}, {""symbol"": ""BEPL.NS"", ""pnl"": -48.99999999999949}, {""symbol"": ""PFOCUS.NS"", ""pnl"": 3.400000000000091}, {""symbol"": ""PVRINOX.NS"", ""pnl"": 135.29999999999973}, {""symbol"": ""AHCL.NS"", ""pnl"": 823.6200790405273}, {""symbol"": ""DEEPINDS.NS"", ""pnl"": -10.199926757812364}]",[],"[{""symbol"": ""SHAREINDIA.NS"", ""direction"": ""BUY"", ""quantity"": 17, ""remaining_quantity"": 17, ""exit_price"": 198.8, ""trigger"": ""Volatility Exit"", ""realized_pnl"": 30.600000000000193}]"
2026-09-12,0,0,0,0,54,204,280097.61,495671.36,-2250.77,-0.87,46.57,53.43,1.92,"{""Industrials"": 50330.2, ""Basic Materials"": 38930.060000000005, ""Financial Services"": 60544.85, ""Utilities"": 9020.44, ""Healthcare"": 20056.1, ""Communication Services"": 4040.56, ""Energy"": 4724.1, ""Consumer Defensive"": 14036.34, ""Consumer Cyclical"": 12719.949999999999, ""Technology"": 1171.1499999999999}",[],[],[]
