id,timestamp,symbol,direction,action,quantity,entry_price,exit_price,status,realized_pnl,realized_pnl_percent,max_profit_percent,max_drawdown_percent,regime,confidence,reasons
paper_ENGINERSIN_NS_1788234405345,1788234405.3454332,ENGINERSIN.NS,BUY,BUY,95,263.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +3.66% (1.14x ATR, WARNING band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_CGCL_NS_1788234407181,1788234407.1821742,CGCL.NS,BUY,BUY,92,258.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.01% (0.00x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_REDINGTON_NS_1788234409181,1788234409.181847,REDINGTON.NS,BUY,BUY,62,358.25,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -2.12% (0.52x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_FINCABLES_NS_1788234411231,1788234411.2323687,FINCABLES.NS,BUY,BUY,17,1260.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -2.92% (0.77x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_SAIL_NS_1788234413046,1788234413.0467675,SAIL.NS,BUY,BUY,103,196.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -2.00% (0.60x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_ELGIEQUIP_NS_1788234415071,1788234415.0714028,ELGIEQUIP.NS,BUY,BUY,31,624.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.77% (0.25x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_SHYAMMETL_NS_1788234416817,1788234416.8175783,SHYAMMETL.NS,BUY,BUY,16,1104.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.38% (0.14x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_TECHM_NS_1788234418849,1788234418.8495772,TECHM.NS,BUY,BUY,10,1630.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.66% (0.29x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_HEG_NS_1788234420714,1788234420.7153597,HEG.NS,BUY,BUY,22,732.4000244140625,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.67% (0.20x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_JSWSTEEL_NS_1788234422763,1788234422.7640338,JSWSTEEL.NS,BUY,BUY,12,1314.5999755859375,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -1.52% (0.81x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_RKFORGE_NS_1788234424713,1788234424.7139707,RKFORGE.NS,BUY,BUY,20,747.7999877929688,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.46% (0.15x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
paper_HINDZINC_NS_1788234427182,1788234427.1824527,HINDZINC.NS,BUY,BUY,23,604.1500244140625,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -2.87% (0.97x ATR, NORMAL band); No NEW company-specific overnight news since last night's scan. | 20 macro headline(s), bias 0.09 — not a blocker."
